id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9349646,Family-friendly private room,3900945,Emily And Carl,,Jamaica Plain,42.30571,-71.10567,Private room,100,1,1,2016-06-24,0.03,2,0
9362821,Welcome Home,48584100,Marcia,,Roxbury,42.33777,-71.0809,Private room,83,1,423,2019-09-15,9.02,1,281
9367059,Perfect Location! Cheap price - NO FURNITURE,1488999,Krystle,,Fenway,42.34655,-71.09291,Entire home/apt,229,2,8,2016-08-28,0.19,1,0
9382898,"Private Bed and Bathroom,parking, close to airport",48677395,Andrew,,East Boston,42.37914,-71.03956,Private room,70,1,253,2019-09-06,5.72,1,188
9386847,Beacon Hill Classic Downtown Boston,27446821,Jean-Pierre,,Beacon Hill,42.35935,-71.06437,Entire home/apt,220,1,0,,,1,0
9393163,Charming Bedroom in Kenmore,47487818,Kayla,,Fenway,42.35076,-71.09526,Private room,90,2,1,2016-03-17,0.02,1,0
9404451,Newly Renovated Sunny Penthouse!,19622559,Kaitlyn,,Charlestown,42.37645,-71.06508,Entire home/apt,190,2,0,,,1,0
9407895,Shared Apartment on Smith Street,41317613,Shreyas,,Mission Hill,42.3338,-71.09617,Shared room,28,3,11,2016-08-22,0.24,1,0
9410831,10 Minutes southwest of Boston,48796146,Ryan,,Brighton,42.3534,-71.16645,Private room,55,1,0,,,1,0
9414160,"Beautiful Beacon Hill, Private Room",48812105,Jordan,,Beacon Hill,42.3595,-71.06852,Private room,120,1,4,2017-09-24,0.16,1,0
9430774,Modern Industrial Styled Loft,46153497,Rania,,South End,42.34346,-71.0642,Entire home/apt,100,1,1,2015-12-01,0.02,1,0
9445192,Cozy Room in Brookline Apartment,48948403,Tate,,Allston,42.34799,-71.13939,Private room,60,1,2,2015-11-23,0.04,1,0
9448243,"1085 Boylston St. ARTlab, 1 Bed Apt, Boston",20857768,Adam,,Fenway,42.34585,-71.08827,Entire home/apt,289,9,36,2019-06-29,0.77,14,72
9463444,"Cozy, bohemian Jamaica Plain studio",48936696,Sarah,,Jamaica Plain,42.30918,-71.11049,Entire home/apt,109,1,36,2018-10-22,0.88,1,0
9473816,Back Bay apartment,16154941,Kayla,,Back Bay,42.35192,-71.07941,Entire home/apt,159,5,2,2016-07-31,0.05,1,0
9485607,Cozy sun-filled home w/antique library & character,1498417,Chad,,Jamaica Plain,42.31923,-71.10502,Entire home/apt,185,3,138,2019-09-13,3.03,1,9
9493951,Double Room in Beautiful Home!,15583990,Natalia,,Dorchester,42.28905,-71.06321,Private room,75,1,165,2019-09-17,3.59,6,331
9494098,Top Floor for Your Stay!,15583990,Natalia,,Dorchester,42.29034,-71.0632,Private room,99,1,27,2019-09-08,0.63,6,342
9494212,Spacious Bedroom in Cozy Home!,15583990,Natalia,,Dorchester,42.28924,-71.06152,Private room,64,1,214,2019-09-05,4.59,6,322
9494511,Cozy Room in Large Home!,15583990,Natalia,,Dorchester,42.28881,-71.06141,Private room,59,1,188,2019-09-14,4.02,6,272
9494772,Artsy Luxury Room next to MIT,28749942,Renata,,West End,42.3625,-71.07071,Private room,99,1,156,2019-09-07,3.34,13,2
9507164,WB Quarters™ by STRB|Polished Cozy in Southie,814298,Short Term Rentals Boston,,South Boston,42.34332,-71.05738,Private room,144,2,5,2019-03-31,0.13,63,0
9531326,"Sunny, Clean & Cute 1BD Near Aiport",1229497,Laura,,East Boston,42.38983,-71.00519,Entire home/apt,72,4,0,,,1,0
9532771,Tranquil room in great spot!,49365462,Andrea,,Jamaica Plain,42.32324,-71.11357,Private room,80,1,0,,,1,0
9541295,"1085 Boylston St. ARTlab, 1 Bed Apt, Boston",20857768,Adam,,Fenway,42.34622,-71.08846,Entire home/apt,289,9,37,2019-06-14,0.84,14,67
9541357,Kendall Square 2 Bedroom Apartment - Close to MIT,15790379,Isa,,West End,42.36244,-71.06885,Entire home/apt,149,1,29,2018-11-15,0.63,3,67
9541666,Very good location,40888395,Tarek,,Allston,42.34951,-71.13427,Entire home/apt,150,2,1,2016-01-05,0.02,1,0
9549850,Welcome to cozy groundfloor 2rm apt,49453306,Gail,,Jamaica Plain,42.32081,-71.1073,Entire home/apt,95,2,126,2019-09-01,2.81,1,83
9570618,"Private rm+brm+parking,$100/120",49546656,Oliver,,Allston,42.3593,-71.13409,Private room,120,2,67,2019-09-18,1.45,1,59
9593141,Private Room - Conveniently Located to Harvard Sq,49651994,Mark,,Allston,42.36057,-71.12915,Private room,70,1,76,2019-09-08,4.17,1,0
9596153,Beacon Hill Charmer,45167058,Weston,,Beacon Hill,42.35805,-71.07133,Entire home/apt,159,3,0,,,1,0
9614024,Beautiful Studio Apt- Symphony area,15730792,Elif,,Roxbury,42.34022,-71.08298,Entire home/apt,94,2,8,2016-08-14,0.21,1,0
9615932,Luxury&Sunny Apt inSecure Building,36388924,Marina,,Allston,42.35047,-71.14103,Private room,100,1,0,,,1,0
9616816,Stunning triplex loft style condo - Quiet building,10778805,Paul,,Roxbury,42.33361,-71.07907,Entire home/apt,210,30,0,,,2,363
9626428,South Boston Condo,49715393,Sarah,,South Boston,42.33203,-71.03764,Entire home/apt,300,3,4,2016-12-21,0.10,1,0
9652961,Cozy 1 Bedroom Apt in Heart of Fenway,7829762,Alex,,Fenway,42.34367,-71.09694,Entire home/apt,100,2,1,2016-06-19,0.03,1,0
9677207,Beautiful Brownstone near Copley Sq,157679,Sara,,Back Bay,42.35265,-71.07565,Entire home/apt,150,2,4,2016-06-13,0.09,1,0
9685076,Comfortable Room with AirBed,16186589,Marie,,Dorchester,42.30327,-71.07204,Private room,35,30,13,2019-09-04,0.31,25,274
9685085,Amazing Private Bedroom with AirBed Near T!,16186589,Marie,,Dorchester,42.28851,-71.06963,Private room,38,30,12,2019-07-21,0.29,25,315
9685102,Spacious room in two-room condo in Boston MA,815156,Max,,Brighton,42.33589,-71.14895,Private room,39,1,188,2019-09-07,4.19,1,324
9725178,Back Bay Renovated Gem,3023813,Max,,Back Bay,42.35131,-71.08268,Entire home/apt,199,28,116,2019-05-27,2.53,2,172
9731479,Penthouse South End with roof deck,19013294,Yoshika,,South End,42.34568,-71.06943,Entire home/apt,195,2,154,2019-09-13,3.50,1,147
9750460,Beautiful 2 Bedroom North End Apt,4590803,Tim,,North End,42.36296,-71.05608,Entire home/apt,275,2,39,2018-11-18,0.95,1,0
9751520,1 BR Apt Close to Airport/Train,50297998,Tyler,,East Boston,42.36583,-71.03529,Entire home/apt,70,5,2,2016-01-14,0.04,1,0
9770560,Downtown Boston Studio 12ftceilings,5380487,Raffi,,Downtown,42.35271,-71.06338,Entire home/apt,225,1,0,,,1,0
9796309,"Marriott Custom House, Boston, MA",9671845,Larry,,Downtown,42.35858,-71.0527,Private room,100,1,0,,,1,0
9813223,Loaded studio steps to green line T & bus: ALLSTON,25279966,Vj,,Allston,42.35105,-71.13384,Entire home/apt,79,180,87,2019-08-11,1.89,2,131
9821291,BEST DEAL- 1 Bd in South End,24171028,Tiffany,,South End,42.33685,-71.07306,Entire home/apt,130,1,0,,,1,0
9822600,Quintessential Boston Charmer,826833,Lauren,,Charlestown,42.37295,-71.06251,Entire home/apt,275,3,0,,,1,0
9824155,"Steps frm Public Transit! Walk 2 Longwood, Fenway!",50599963,Marcus,,Mission Hill,42.33,-71.1122,Private room,80,1,69,2019-08-20,1.60,1,268
9825415,Private Room in the Heart of Boston,27121083,Antoinne,,Bay Village,42.34898,-71.06782,Private room,120,2,12,2017-04-18,0.26,1,0
9834532,Gorgeous rowhouse in South End,5610797,Trevor,,Roxbury,42.33646,-71.0827,Entire home/apt,250,7,0,,,1,0
9834727,"Hideaway in Boston's North End-""Little Italy""",50648271,Richard,,North End,42.36399,-71.05488,Entire home/apt,150,3,115,2019-09-15,2.56,1,142
9845039,Cozy 1-Bedroom in Fenway/Brookline,184232,Ashley,,Fenway,42.34691,-71.10493,Entire home/apt,100,1,6,2016-02-08,0.13,2,0
9853959,South End/Back Bay Apartment,50727619,Margaret,,South End,42.34121,-71.07955,Entire home/apt,195,2,0,,,1,0
9857049,Cedars on Beacon Hill One Bedroom,48494513,Inn Boston,,Beacon Hill,42.35744,-71.06903,Entire home/apt,289,2,106,2019-08-28,2.32,20,339
9864083,Lofty South End One Bedroom,50766866,Robert,,South End,42.34184,-71.06475,Entire home/apt,150,1,0,,,1,0
9878725,Small Cozy Attic Bedroom,17892292,Marlene,,Allston,42.36031,-71.13411,Private room,50,1,1,2018-03-05,0.05,5,0
9878803,Comfortable futon in large Brookline/Boston apt.,50291013,Jack,,Fenway,42.34627,-71.10623,Shared room,50,1,33,2017-06-19,0.72,1,0
9894686,Cozy Boston bedroom with parking,8267675,Robrecht,,Dorchester,42.29316,-71.07273,Private room,69,2,304,2019-07-31,6.63,3,0
